min_x_defect,max_x_defect,min_y_defect,max_y_defect,area_pixels,slab_width,slab_length,sum_pixel_luminosity,min_pixel_luminosity,max_pixel_luminosity,conveyer_width,slab_thickness,type_of_steel,defect_type
38.0,49.0,735612.0,735624.0,113.0,11.0,12.0,12652.0,93.0,130.0,1707.0,100.0,TypeOfSteel_A300,1
1252.0,1348.0,355940.0,356016.0,1812.0,119.0,135.0,196003.0,,132.0,1687.0,80.0,TypeOfSteel_A300,1
193.0,210.0,612201.0,612252.0,588.0,18.0,51.0,62182.0,73.0,135.0,1353.0,290.0,TypeOfSteel_A400,1
1159.0,1170.0,32914.0,32926.0,106.0,11.0,12.0,12792.0,100.0,134.0,1353.0,185.0,TypeOfSteel_A400,1
366.0,392.0,228379.0,228429.0,612.0,46.0,52.0,71337.0,103.0,127.0,1687.0,200.0,TypeOfSteel_A400,1
837.0,850.0,231429.0,231443.0,155.0,13.0,14.0,16093.0,55.0,134.0,1687.0,200.0,TypeOfSteel_A400,1
390.0,402.0,2513153.0,2513182.0,247.0,14.0,29.0,26419.0,,126.0,1387.0,50.0,TypeOfSteel_A400,1
1351.0,1360.0,4807459.0,4807479.0,135.0,12.0,21.0,13096.0,,109.0,1387.0,50.0,TypeOfSteel_A400,1
1325.0,1336.0,4848223.0,4848269.0,376.0,13.0,47.0,37703.0,,117.0,1387.0,50.0,TypeOfSteel_A400,1
542.0,564.0,51943.0,51952.0,132.0,32.0,20.0,14760.0,104.0,119.0,1227.0,40.0,TypeOfSteel_A400,1
367.0,374.0,303225.0,303262.0,198.0,10.0,37.0,22581.0,101.0,127.0,1227.0,40.0,TypeOfSteel_A400,1
932.0,943.0,3020344.0,3020360.0,128.0,12.0,16.0,13996.0,,126.0,1687.0,50.0,TypeOfSteel_A400,1
516.0,528.0,1346892.0,1346908.0,143.0,15.0,16.0,14742.0,76.0,125.0,1353.0,70.0,TypeOfSteel_A400,1
1332.0,1347.0,70219.0,70241.0,221.0,19.0,22.0,24230.0,97.0,124.0,1687.0,70.0,TypeOfSteel_A300,1
480.0,492.0,1263623.0,1263637.0,114.0,15.0,14.0,12221.0,,125.0,1687.0,70.0,TypeOfSteel_A300,1
699.0,740.0,1503538.0,1503546.0,176.0,44.0,15.0,18466.0,,119.0,1353.0,50.0,TypeOfSteel_A300,1
431.0,444.0,1587172.0,1587191.0,176.0,21.0,19.0,19565.0,,135.0,1353.0,50.0,TypeOfSteel_A300,1
96.0,132.0,7430.0,7458.0,513.0,42.0,29.0,62225.0,105.0,139.0,1353.0,50.0,TypeOfSteel_A400,1
873.0,900.0,1099506.0,1099516.0,150.0,27.0,12.0,16873.0,96.0,129.0,1353.0,50.0,TypeOfSteel_A400,1
83.0,99.0,690095.0,690120.0,279.0,21.0,25.0,30271.0,61.0,135.0,1366.0,80.0,TypeOfSteel_A300,1
99.0,115.0,203973.0,203987.0,106.0,25.0,16.0,12782.0,108.0,134.0,1362.0,80.0,TypeOfSteel_A300,1
936.0,944.0,597956.0,597966.0,50.0,10.0,10.0,5345.0,93.0,127.0,1692.0,60.0,TypeOfSteel_A300,1
1010.0,1017.0,673841.0,673860.0,88.0,14.0,19.0,9432.0,95.0,125.0,1692.0,60.0,TypeOfSteel_A300,1
955.0,963.0,731417.0,731423.0,34.0,10.0,6.0,3553.0,,119.0,1692.0,60.0,TypeOfSteel_A300,1
1297.0,1305.0,817238.0,817245.0,46.0,8.0,8.0,5226.0,97.0,133.0,1690.0,60.0,TypeOfSteel_A300,1
1116.0,1124.0,861912.0,861921.0,38.0,12.0,10.0,4409.0,104.0,132.0,1690.0,60.0,TypeOfSteel_A300,1
1307.0,1314.0,968156.0,968164.0,35.0,9.0,9.0,4108.0,102.0,132.0,1692.0,60.0,TypeOfSteel_A300,1
935.0,947.0,1035255.0,1035264.0,66.0,14.0,9.0,6760.0,,127.0,1690.0,60.0,TypeOfSteel_A300,1
565.0,572.0,1074269.0,1074276.0,39.0,9.0,7.0,4442.0,101.0,134.0,1690.0,60.0,TypeOfSteel_A300,1
372.0,381.0,1131516.0,1131524.0,38.0,11.0,8.0,4304.0,96.0,125.0,1690.0,60.0,TypeOfSteel_A300,1
1609.0,1616.0,1168986.0,1168994.0,32.0,9.0,8.0,3094.0,,110.0,1688.0,60.0,TypeOfSteel_A300,1
748.0,758.0,1199744.0,1199753.0,67.0,12.0,10.0,7367.0,,134.0,1690.0,60.0,TypeOfSteel_A300,1
189.0,199.0,1290093.0,1290103.0,64.0,11.0,10.0,7736.0,103.0,145.0,1690.0,60.0,TypeOfSteel_A300,1
1559.0,1573.0,1658945.0,1658959.0,115.0,19.0,14.0,10923.0,71.0,118.0,1694.0,60.0,TypeOfSteel_A300,1
764.0,779.0,2070108.0,2070121.0,134.0,20.0,13.0,13696.0,67.0,127.0,1692.0,60.0,TypeOfStel_A300,1
1633.0,1642.0,2097069.0,2097080.0,69.0,12.0,11.0,6235.0,77.0,109.0,1692.0,60.0,TypeOfSteel_A300,1
133.0,142.0,2243918.0,2243932.0,101.0,12.0,14.0,11300.0,95.0,135.0,1692.0,60.0,TypeOfSteel_A300,1
501.0,531.0,2455610.0,2455644.0,617.0,53.0,43.0,65563.0,70.0,135.0,1688.0,60.0,TypeOfSteel_A300,1
973.0,986.0,2563697.0,2563708.0,93.0,14.0,11.0,9363.0,75.0,119.0,1690.0,60.0,TypeOfSteel_A300,1
967.0,976.0,2690125.0,2690135.0,67.0,13.0,10.0,6947.0,,119.0,1690.0,60.0,TypeOfSteel_A300,1
1126.0,1135.0,2829623.0,2829653.0,166.0,23.0,31.0,18674.0,,132.0,1692.0,60.0,TypeOfSteel_A300,1
561.0,571.0,2993150.0,2993160.0,75.0,13.0,10.0,8457.0,93.0,135.0,1692.0,60.0,TypeOfSteel_A300,1
1338.0,1348.0,3023370.0,3023381.0,82.0,14.0,11.0,9124.0,93.0,127.0,1694.0,60.0,TypeOfSteel_A300,1
512.0,521.0,3406368.0,3406376.0,55.0,11.0,8.0,6241.0,97.0,133.0,1692.0,60.0,TypeOfSteel_A300,1
1606.0,1620.0,3457631.0,3457651.0,208.0,23.0,21.0,17619.0,61.0,109.0,1686.0,60.0,TypeOfSteel_A300,1
532.0,544.0,3581245.0,3581267.0,148.0,25.0,23.0,16061.0,,127.0,1686.0,60.0,TypeOfSteel_A300,1
1393.0,1402.0,92878.0,92896.0,126.0,15.0,18.0,12598.0,,124.0,1688.0,60.0,TypeOfSteel_A300,1
744.0,757.0,113269.0,113291.0,162.0,21.0,23.0,17124.0,,124.0,1690.0,60.0,TypeOfStel_A300,1
595.0,607.0,140744.0,140756.0,100.0,15.0,12.0,11247.0,,132.0,1692.0,60.0,TypeOfSteel_A300,1
908.0,914.0,414919.0,414931.0,52.0,11.0,12.0,5249.0,,118.0,1692.0,60.0,TypeOfSteel_A300,1
368.0,380.0,484193.0,484208.0,138.0,17.0,16.0,15501.0,,135.0,1690.0,60.0,TypeOfSteel_A300,1
213.0,223.0,625577.0,625588.0,87.0,16.0,11.0,9527.0,,132.0,1692.0,60.0,TypeOfStel_A300,1
117.0,124.0,800126.0,800138.0,56.0,10.0,12.0,6459.0,104.0,132.0,1690.0,60.0,TypeOfSteel_A300,1
64.0,92.0,902589.0,902622.0,659.0,50.0,34.0,61890.0,49.0,132.0,1688.0,60.0,TypeOfStel_A300,1
129.0,140.0,970962.0,970972.0,66.0,14.0,10.0,7537.0,101.0,131.0,1684.0,60.0,TypeOfStel_A300,1
104.0,120.0,1046565.0,1046583.0,184.0,20.0,18.0,19728.0,77.0,133.0,1688.0,60.0,TypeOfStel_A300,1
52.0,88.0,1082492.0,1082521.0,662.0,55.0,33.0,61753.0,44.0,126.0,1690.0,60.0,TypeOfStel_A300,1
539.0,547.0,1294968.0,1294979.0,70.0,9.0,11.0,7964.0,94.0,133.0,1688.0,60.0,TypeOfSteel_A300,1
947.0,960.0,1388292.0,1388304.0,107.0,15.0,12.0,10416.0,65.0,119.0,1690.0,60.0,TypeOfSteel_A300,1
541.0,556.0,1540628.0,1540636.0,84.0,17.0,8.0,9571.0,99.0,133.0,1690.0,60.0,TypeOfSteel_A300,1
118.0,128.0,1566617.0,1566638.0,126.0,22.0,21.0,13355.0,,119.0,1690.0,60.0,TypeOfSteel_A300,1
1063.0,1071.0,1593977.0,1593992.0,90.0,12.0,15.0,10036.0,93.0,135.0,1692.0,60.0,TypeOfSteel_A300,1
1084.0,1096.0,1635847.0,1635864.0,144.0,16.0,17.0,15517.0,,134.0,1694.0,60.0,TypeOfSteel_A300,1
24.0,33.0,2089982.0,2089996.0,94.0,13.0,14.0,8943.0,,109.0,1690.0,60.0,TypeOfSteel_A300,1
155.0,168.0,2274364.0,2274383.0,163.0,18.0,19.0,18196.0,93.0,133.0,1688.0,60.0,TypeOfSteel_A300,1
1005.0,1030.0,2315017.0,2315030.0,204.0,30.0,17.0,22388.0,95.0,124.0,1690.0,60.0,TypeOfStel_A300,1
30.0,38.0,2488268.0,2488282.0,78.0,10.0,14.0,7387.0,,110.0,1692.0,60.0,TypeOfSteel_A300,1
881.0,891.0,2921961.0,2921970.0,62.0,11.0,9.0,6294.0,,118.0,1688.0,60.0,TypeOfSteel_A300,1
280.0,292.0,2946689.0,2946700.0,110.0,15.0,11.0,11881.0,,133.0,1690.0,60.0,TypeOfSteel_A300,1
1250.0,1262.0,3294606.0,3294616.0,65.0,14.0,10.0,7394.0,103.0,127.0,1690.0,60.0,TypeOfStel_A300,1
1643.0,1681.0,951875.0,951917.0,822.0,88.0,63.0,70737.0,71.0,101.0,1692.0,70.0,TypeOfSteel_A300,1
1680.0,1689.0,990614.0,990624.0,68.0,10.0,10.0,3507.0,21.0,82.0,1692.0,70.0,TypeOfSteel_A300,1
1674.0,1684.0,1161637.0,1161649.0,59.0,14.0,12.0,4717.0,72.0,93.0,1692.0,70.0,TypeOfSteel_A300,1
1678.0,1687.0,1465348.0,1465360.0,71.0,11.0,12.0,3944.0,22.0,86.0,1690.0,70.0,TypeOfStel_A300,1
1641.0,1665.0,2961860.0,2961953.0,1130.0,102.0,101.0,99671.0,77.0,103.0,1692.0,70.0,TypeOfSteel_A300,1
1633.0,1656.0,2987424.0,2987515.0,1125.0,83.0,92.0,100842.0,76.0,111.0,1692.0,70.0,TypeOfSteel_A300,1
1638.0,1647.0,3009085.0,3009096.0,66.0,16.0,11.0,6385.0,,109.0,1692.0,70.0,TypeOfSteel_A300,1
677.0,686.0,3379334.0,3379344.0,69.0,12.0,10.0,7774.0,95.0,132.0,1682.0,70.0,TypeOfSteel_A300,1
1575.0,1590.0,3403338.0,3403364.0,255.0,25.0,26.0,23784.0,77.0,109.0,1684.0,70.0,TypeOfSteel_A300,1
723.0,734.0,3857540.0,3857548.0,78.0,13.0,8.0,8757.0,,132.0,1688.0,70.0,TypeOfSteel_A300,1
759.0,768.0,3896732.0,3896740.0,54.0,10.0,8.0,6028.0,,127.0,1690.0,70.0,TypeOfSteel_A300,1
188.0,198.0,3942253.0,3942263.0,74.0,11.0,10.0,8375.0,95.0,134.0,1688.0,70.0,TypeOfSteel_A300,1
339.0,355.0,3962284.0,3962304.0,250.0,20.0,20.0,25833.0,77.0,124.0,1692.0,70.0,TypeOfSteel_A300,1
143.0,151.0,3986260.0,3986268.0,51.0,10.0,8.0,5716.0,102.0,125.0,1694.0,70.0,TypeOfSteel_A300,1
868.0,879.0,4048592.0,4048602.0,86.0,11.0,10.0,8851.0,,117.0,1688.0,70.0,TypeOfSteel_A300,1
396.0,404.0,99636.0,99644.0,55.0,10.0,8.0,6860.0,111.0,142.0,1690.0,70.0,TypeOfSteel_A300,1
508.0,518.0,257756.0,257770.0,110.0,13.0,14.0,12127.0,,132.0,1686.0,70.0,TypeOfSteel_A300,1
1134.0,1156.0,728281.0,728304.0,375.0,32.0,23.0,34485.0,48.0,132.0,1364.0,70.0,TypeOfSteel_A300,1
251.0,260.0,961360.0,961371.0,67.0,11.0,11.0,7550.0,99.0,125.0,1364.0,70.0,TypeOfSteel_A300,1
682.0,693.0,1620649.0,1620667.0,126.0,15.0,18.0,14330.0,104.0,133.0,1354.0,40.0,TypeOfSteel_A400,1
1084.0,1167.0,1803992.0,1804016.0,880.0,109.0,61.0,103662.0,101.0,134.0,1358.0,40.0,TypeOfSteel_A400,1
920.0,928.0,1862719.0,1862728.0,52.0,9.0,9.0,5816.0,101.0,126.0,1358.0,40.0,TypeOfSteel_A400,1
205.0,214.0,2039121.0,2039135.0,84.0,14.0,14.0,9767.0,105.0,132.0,1356.0,40.0,TypeOfSteel_A400,1
1327.0,1332.0,2062989.0,2063003.0,55.0,11.0,14.0,6074.0,102.0,124.0,1354.0,40.0,TypeOfSteel_A400,1
482.0,490.0,2102085.0,2102099.0,68.0,14.0,14.0,7747.0,105.0,127.0,1354.0,40.0,TypeOfSteel_A400,1
1317.0,1324.0,2166062.0,2166078.0,78.0,12.0,16.0,9381.0,110.0,132.0,1352.0,40.0,TypeOfSteel_A400,1
17.0,23.0,2433462.0,2433491.0,122.0,16.0,29.0,14032.0,107.0,127.0,1352.0,40.0,TypeOfSteel_A400,1
828.0,837.0,2451285.0,2451296.0,67.0,13.0,11.0,8107.0,112.0,134.0,1350.0,40.0,TypeOfSteel_A400,1
724.0,733.0,3320084.0,3320092.0,56.0,14.0,8.0,5857.0,,124.0,1380.0,40.0,TypeOfSteel_A400,1
593.0,603.0,3384541.0,3384556.0,101.0,15.0,15.0,11431.0,99.0,125.0,1376.0,40.0,TypeOfSteel_A400,1
1049.0,1058.0,3577116.0,3577127.0,67.0,12.0,11.0,7881.0,106.0,132.0,1376.0,40.0,TypeOfSteel_A400,1
1312.0,1322.0,4118358.0,4118372.0,77.0,15.0,14.0,8558.0,104.0,119.0,1350.0,40.0,TypeOfSteel_A400,1
459.0,470.0,4165780.0,4165792.0,89.0,14.0,12.0,10504.0,108.0,127.0,1352.0,40.0,TypeOfSteel_A400,1
487.0,497.0,4186980.0,4186988.0,52.0,20.0,8.0,6999.0,130.0,141.0,1352.0,40.0,TypeOfSteel_A400,1
204.0,226.0,921087.0,921104.0,105.0,37.0,20.0,13505.0,100.0,148.0,1368.0,69.0,TypeOfSteel_A300,1
576.0,586.0,1581945.0,1581952.0,54.0,12.0,7.0,7555.0,123.0,159.0,1652.0,69.0,TypeOfSteel_A300,1
1582.0,1592.0,1612840.0,1612870.0,193.0,25.0,30.0,18218.0,,111.0,1654.0,69.0,TypeOfSteel_A300,1
1287.0,1296.0,1695433.0,1695447.0,86.0,16.0,14.0,9848.0,100.0,133.0,1652.0,69.0,TypeOfSteel_A300,1
57.0,67.0,4121201.0,4121214.0,81.0,16.0,13.0,9137.0,98.0,127.0,1646.0,69.0,TypeOfSteel_A300,1
715.0,732.0,5260241.0,5260250.0,116.0,18.0,10.0,12530.0,,134.0,1650.0,69.0,TypeOfSteel_A300,1
1358.0,1376.0,5492080.0,5492091.0,110.0,34.0,16.0,14087.0,113.0,140.0,1650.0,69.0,TypeOfSteel_A300,1
203.0,222.0,5521699.0,5521708.0,89.0,32.0,14.0,11922.0,123.0,150.0,1650.0,69.0,TypeOfSteel_A300,1
1345.0,1358.0,5550892.0,5550899.0,51.0,14.0,11.0,6525.0,120.0,141.0,1650.0,69.0,TypeOfSteel_A300,1
146.0,169.0,5714647.0,5714652.0,76.0,24.0,7.0,10286.0,120.0,151.0,1650.0,69.0,TypeOfSteel_A300,1
305.0,313.0,836762.0,836771.0,51.0,10.0,9.0,5779.0,,134.0,1690.0,150.0,TypeOfSteel_A300,1
1041.0,1056.0,1276792.0,1276817.0,252.0,20.0,25.0,28061.0,,135.0,1652.0,100.0,TypeOfSteel_A300,1
1261.0,1273.0,1592233.0,1592247.0,102.0,24.0,15.0,13464.0,118.0,149.0,1650.0,100.0,TypeOfSteel_A300,1
206.0,239.0,1785718.0,1785787.0,979.0,126.0,108.0,118187.0,106.0,141.0,1660.0,100.0,TypeOfSteel_A300,1
814.0,823.0,119924.0,119932.0,52.0,10.0,8.0,4695.0,74.0,103.0,1662.0,100.0,TypeOfSteel_A300,1
673.0,695.0,890920.0,890940.0,290.0,28.0,22.0,26213.0,43.0,124.0,1710.0,100.0,TypeOfSteel_A300,1
1161.0,1170.0,2173332.0,2173340.0,56.0,10.0,9.0,5966.0,,124.0,1710.0,100.0,TypeOfSteel_A300,1
912.0,927.0,3597508.0,3597517.0,56.0,19.0,11.0,7390.0,120.0,143.0,1658.0,100.0,TypeOfSteel_A300,1
1145.0,1154.0,595201.0,595245.0,226.0,23.0,44.0,24834.0,93.0,126.0,1358.0,100.0,TypeOfSteel_A300,1
557.0,567.0,1130873.0,1130901.0,171.0,23.0,28.0,17836.0,,124.0,1360.0,100.0,TypeOfSteel_A300,1
1245.0,1263.0,1349778.0,1349811.0,383.0,37.0,33.0,41476.0,97.0,125.0,1360.0,100.0,TypeOfSteel_A300,1
1272.0,1285.0,1954485.0,1954498.0,120.0,17.0,13.0,12847.0,,132.0,1360.0,100.0,TypeOfSteel_A300,1
657.0,678.0,2134924.0,2134950.0,425.0,28.0,26.0,37025.0,48.0,124.0,1356.0,100.0,TypeOfSteel_A300,1
1175.0,1187.0,2488529.0,2488541.0,111.0,14.0,12.0,11868.0,93.0,124.0,1352.0,100.0,TypeOfSteel_A300,1
1307.0,1316.0,2633467.0,2633484.0,96.0,21.0,18.0,11447.0,108.0,134.0,1362.0,100.0,TypeOfSteel_A300,1
919.0,931.0,3178549.0,3178563.0,133.0,14.0,14.0,14163.0,,126.0,1358.0,100.0,TypeOfSteel_A300,1
320.0,329.0,9754896.0,9754906.0,63.0,12.0,10.0,6884.0,,126.0,1356.0,100.0,TypeOfSteel_A300,1
661.0,669.0,2183073.0,2183084.0,69.0,11.0,11.0,6811.0,,116.0,1362.0,120.0,TypeOfSteel_A300,1
1467.0,1482.0,1144047.0,1144070.0,245.0,20.0,23.0,23122.0,56.0,118.0,1656.0,80.0,TypeOfSteel_A300,1
929.0,939.0,1248676.0,1248687.0,88.0,13.0,11.0,9120.0,,118.0,1656.0,80.0,TypeOfSteel_A300,1
165.0,176.0,1293999.0,1294012.0,106.0,11.0,13.0,11973.0,96.0,128.0,1654.0,80.0,TypeOfSteel_A300,1
1605.0,1613.0,2158132.0,2158152.0,88.0,21.0,20.0,7182.0,67.0,94.0,1656.0,80.0,TypeOfSteel_A300,1
